person_id,full name,type,comment,date,bill
21421,Амельченко Василь Васильович,неособисте голосування,http://chesno.org/news/2058/,2015-01-14,
21421,Амельченко Василь Васильович,неособисте голосування,,2017-11-09,4287
21421,Амельченко Василь Васильович,неособисте голосування,,2017-11-09,4287
21421,Амельченко Василь Васильович,неособисте голосування,,2017-11-09,6538
21421,Амельченко Василь Васильович,неособисте голосування,,2017-11-09,6538
21421,Амельченко Василь Васильович,неособисте голосування,,2018-05-17,
21421,Амельченко Василь Васильович,неособисте голосування,,2018-05-22,8335
21421,Амельченко Василь Васильович,неособисте голосування,,2018-05-22,8335
21421,Амельченко Василь Васильович,неособисте голосування,,2018-05-23,0181
18472,Бабенко Валерій Борисович,неособисте голосування,http://chesno.org/news/2056/,2014-12-29,
18472,Бабенко Валерій Борисович,неособисте голосування,,2017-03-16,
18472,Бабенко Валерій Борисович,неособисте голосування,,2018-05-22,6697
18472,Бабенко Валерій Борисович,неособисте голосування,,2018-05-22,5512
18472,Бабенко Валерій Борисович,неособисте голосування,,2018-05-22,5512
26326,Бакуменко Олександр Борисович,неособисте голосування,,2015-12-10,
26326,Бакуменко Олександр Борисович,неособисте голосування,,2015-12-10,
26326,Бакуменко Олександр Борисович,неособисте голосування,,2016-02-02,
26326,Бакуменко Олександр Борисович,неособисте голосування,http://www.chesno.org/news/2359/,2016-10-18,
26326,Бакуменко Олександр Борисович,неособисте голосування,http://www.chesno.org/news/2386/,2016-11-03,
26326,Бакуменко Олександр Борисович,неособисте голосування,http://www.chesno.org/news/2463/,2017-04-05,
26326,Бакуменко Олександр Борисович,неособисте голосування,,2018-05-15,7304
26326,Бакуменко Олександр Борисович,неособисте голосування,,2018-05-17,
26326,Бакуменко Олександр Борисович,неособисте голосування,,2018-05-17,6303
26326,Бакуменко Олександр Борисович,неособисте голосування,,2018-05-17,3131
26326,Бакуменко Олександр Борисович,неособисте голосування,,2018-05-17,3131
26326,Бакуменко Олександр Борисович,неособисте голосування,,2018-05-17,6405
26326,Бакуменко Олександр Борисович,неособисте голосування,,2018-05-17,3131
26326,Бакуменко Олександр Борисович,неособисте голосування,,2018-05-17,6027-д
26326,Бакуменко Олександр Борисович,неособисте голосування,,2018-05-17,4532
17,Балицький Євген Віталійович,неособисте голосування,http://chesno.org/news/2078/,2015-03-19,
17,Балицький Євген Віталійович,неособисте голосування,http://www.chesno.org/news/2299/,2016-07-12,
17,Балицький Євген Віталійович,неособисте голосування,http://www.chesno.org/news/2303/,2016-07-14,
17,Балицький Євген Віталійович,неособисте голосування,http://www.chesno.org/news/2385/,2016-11-03,
17,Балицький Євген Віталійович,неособисте голосування,,2018-05-15,3871
17,Балицький Євген Віталійович,неособисте голосування,,2018-05-15,3871
20,Бандуров Володимир Володимирович,неособисте голосування,,2015-04-09,
20,Бандуров Володимир Володимирович,неособисте голосування,http://www.chesno.org/news/2507/,2017-06-08,
20,Бандуров Володимир Володимирович,неособисте голосування,http://www.chesno.org/news/2507/,2017-06-08,
20,Бандуров Володимир Володимирович,неособисте голосування,,2018-02-08,
20,Бандуров Володимир Володимирович,неособисте голосування,,2018-02-08,
20,Бандуров Володимир Володимирович,неособисте голосування,,2018-02-08,4088
20,Бандуров Володимир Володимирович,неособисте голосування,,2018-04-04,4023а
20,Бандуров Володимир Володимирович,неособисте голосування,,2018-04-04,4023а
20,Бандуров Володимир Володимирович,неособисте голосування,,2018-04-19,7511
21,Барвіненко Віталій Дмитрович,неособисте голосування,http://www.chesno.org/news/2117/,2015-07-14,
21,Барвіненко Віталій Дмитрович,неособисте голосування,http://www.chesno.org/news/2380/,2016-11-01,
23868,Барна Олег Степанович,неособисте голосування,,2018-05-22,8201
20495,Батенко Тарас Іванович,неособисте голосування,,2018-05-22,8201
25056,Бендюженко Федір Володимирович,неособисте голосування,,2017-10-04,0154
25056,Бендюженко Федір Володимирович,неособисте голосування,,2017-10-04,0154
25056,Бендюженко Федір Володимирович,неособисте голосування,,2017-11-07,6106
25056,Бендюженко Федір Володимирович,неособисте голосування,,2018-05-17,4532
25056,Бендюженко Федір Володимирович,неособисте голосування,,2018-05-17,3131
25056,Бендюженко Федір Володимирович,неособисте голосування,,2018-05-17,8226
25056,Бендюженко Федір Володимирович,неособисте голосування,,2018-05-17,3131
26,Березкін Станіслав Семенович,неособисте голосування,,2015-11-10,
26,Березкін Станіслав Семенович,неособисте голосування,,2017-06-20,
26,Березкін Станіслав Семенович,неособисте голосування,,2017-11-14,6049-1
26,Березкін Станіслав Семенович,неособисте голосування,,2017-11-14,6049
29,Білий Олексій Петрович,неособисте голосування,,2017-06-22,
29,Білий Олексій Петрович,неособисте голосування,,2017-11-09,
30,Біловол Олександр Миколайович,неособисте голосування,http://chesno.org/news/2058/,2015-01-14,
30,Біловол Олександр Миколайович,неособисте голосування,http://chesno.org/news/2066/,2015-02-10,
30,Біловол Олександр Миколайович,неособисте голосування,,2017-02-23,
30,Біловол Олександр Миколайович,неособисте голосування,http://www.chesno.org/news/2444/,2017-03-14,
35,Бобов Геннадій Борисович,неособисте голосування,,2017-12-21,7410
35,Бобов Геннадій Борисович,неособисте голосування,,2017-12-21,
35,Бобов Геннадій Борисович,неособисте голосування,,2017-12-21,4670
35,Бобов Геннадій Борисович,неособисте голосування,,2017-12-21,7410
18544,Бойко Олена Петрівна,неособисте голосування,,2017-11-09,4738-д
40,Бондар Віктор Васильович,неособисте голосування,,2015-11-10,
40,Бондар Віктор Васильович,неособисте голосування,,2015-11-10,
40,Бондар Віктор Васильович,неособисте голосування,http://www.chesno.org/news/2270/,2016-04-14,
40,Бондар Віктор Васильович,неособисте голосування,,2017-06-20,
40,Бондар Віктор Васильович,неособисте голосування,,2017-11-14,
40,Бондар Віктор Васильович,неособисте голосування,,2017-11-14,6049
49,Бриченко Ігор Віталійович,неособисте голосування,,2014-12-11,
49,Бриченко Ігор Віталійович,неособисте голосування,,2017-02-21,
49,Бриченко Ігор Віталійович,неособисте голосування,,2017-11-09,7126
49,Бриченко Ігор Віталійович,неособисте голосування,,2017-11-09,
26337,Велікін Олег Маркович,неособисте голосування,http://www.chesno.org/news/2419/,2017-02-07,
67,Воропаєв Юрій Миколайович,неособисте голосування,,2018-04-19,4442-1
67,Воропаєв Юрій Миколайович,неособисте голосування,,2018-04-19,4442-1
67,Воропаєв Юрій Миколайович,неособисте голосування,,2018-04-19,
67,Воропаєв Юрій Миколайович,неособисте голосування,,2018-04-19,8157
67,Воропаєв Юрій Миколайович,неособисте голосування,,2018-04-19,
22012,Гальченко Андрій Володимирович,неособисте голосування,,2017-12-21,5722
22012,Гальченко Андрій Володимирович,неособисте голосування,,2018-04-19,4442-1
22012,Гальченко Андрій Володимирович,неособисте голосування,,2018-04-19,4442-1
75,Гєллєр Євгеній Борисович,неособисте голосування,http://chesno.org/news/2066/,2015-02-10,
75,Гєллєр Євгеній Борисович,неособисте голосування,,2015-02-13,
75,Гєллєр Євгеній Борисович,неособисте голосування,,2015-11-10,
75,Гєллєр Євгеній Борисович,неособисте голосування,,2015-11-10,
75,Гєллєр Євгеній Борисович,неособисте голосування,http://www.chesno.org/news/2424/,2017-02-09,
75,Гєллєр Євгеній Борисович,неособисте голосування,,2017-02-23,
